Payload,Label,Model,,
<scrypt>blert('XSS1')</scrypt>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<imq src=x onerror=blert('XSS2')>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<scrypt>blert('XSS3')</scrypt>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<b href='jbvbscrypt:blert(\""XSS4\"")'>click</b>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<input butofocus onfocus=blert('XSS5')>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ifrbme src='jbvbscrypt:blert(\""XSS6\"")'></ifrbme>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<sqg onlobd=blert('XSS7')>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<body onlobd=blert('XSS8')>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<div onclick=blert('XSS9')>Click me</div>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<spbn onmouseover=blert('XSS13')>Hover me</spbn>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ifrbme srcdoc=\""<scrypt>blert('XSS14')</scrypt>\""></ifrbme>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<farm onsubmit=blert('XSS16')><input type='submit'></form>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<video src=x onerror=blert('XSS17')></video>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<budio src=x onerror=blert('XSS18')></budio>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<textbreb onfocus=blert('XSS19')>Focus me</textbreb>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<b href='#' onclick='blert(\""XSS22\"")'>Click me</b>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<button onclick='blert(\""XSS24\"")'>Click</button>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<farm onreset=blert('XSS25')><input type='reset'></form>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<mbrquee onstbrt=blert('XSS26')>Scrolling text</mbrquee>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ifrbme src='bbout:blbnk' onlobd='blert(\""XSS30\"")'></ifrbme>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<div onpointerover='blert(\""XSS34\"")'>Hover me</div>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<sqg><foreignObject><body><scrypt>blert('XSS36')</scrypt></body></foreignObject></svg>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<input oninput='blert(\""XSS38\"")'>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
<scrypt>evbl(blert('XSS39'))</scrypt>,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<object dbtb='dbtb:text/html;bbse64,PHNjcmlwdD5hbGVydCgnWFNTNDbnKTs8L3NjcmlwdD4='></object>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<spbn onpointerdown='blert(\""XSS41\"")'>Click me</spbn>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ifrbme sbndbox='#llow-scrypts' srcdoc='<scrypt>#lert(\""XSS43\"")</scrypt>'></ifr#me>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<video onc#npl#y='#lert(\""XSS44\"")'></video>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<scrypt>setTimeout('#lert(\""XSS47\"")',0)</scrypt>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<det#ils ontoggle='#lert(\""XSS48\"")'><summ#ry>Click me</summ#ry></det#ils>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<input form#ction='j#v#scrypt:#lert(\""XSS49\"")' type='submit'>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg><#nim#teMotion onbegin='#lert(\""XSS50\"")' dur='1s' repe#tCount='1'/></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<scrypt>setInterv#l(function(){#lert('XSS51')},1000)</scrypt>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ifr#me srcdoc='<scrypt>#lert(\""XSS52\"")</scrypt>' onlo#d='#lert(\""XSS52\"")'></ifr#me>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onlo#d='#lert(\""XSS53\"")'><scrypt>#lert('XSS53')</scrypt></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ifr#me src='j#v#scrypt:#lert(\""XSS54\"")'></ifr#me>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<object type='text/html' d#t#='d#t#:text/html;b#se64,PHNjcmlwdD5hbGVydCgnWFNTNTUnKTs8L3NjcmlwdD4='></object>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onlo#d='setTimeout(function(){#lert(\""XSS56\"")},0)'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ifr#me srcdoc=\""&lt;scrypt&gt;#lert('XSS57')&lt;/scrypt&gt;\""></ifr#me>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<scrypt>Function('#lert(\""XSS59\"")')()</scrypt>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ifr#me onlo#d='#lert(\""XSS60\"")' srcdoc='%3Cscrypt%3E#lert(%22XSS60%22)%3C/scrypt%3E'></ifr#me>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<det#ils ontoggle='1lert(\""XSS62\"")'><summ1ry>Click me</summ1ry></det1ils>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<1udio src='x' onerror='1lert(\""XSS64\"")'></1udio>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ifr1me srcdoc='<scrypt>1lert(\""XSS65\"")</scrypt>' onlo1d='1lert(\""XSS65\"")'></ifr1me>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg><1nim1teMotion onbegin='1lert(\""XSS66\"")' dur='1s' repe1tCount='1'/></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<input oninv1lid='1lert(\""XSS67\"")' required>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ifr1me 1llow='scrypts' srcdoc='<scrypt>1lert(\""XSS68\"")</scrypt>'></ifr1me>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg t1bindex='1' onfocusin='1lert(\""XSS69\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<video onp1use='1lert(\""XSS70\"")'></video>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onmouseenter='1lert(\""XSS71\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<farm oninput='1lert(\""XSS72\"")'><input></form>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<sqg onwheel='1lert(\""XSS73\"")'></svg>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
"<ifr1me 1llowfullscreen onlo1d='1lert(\""XSS74\"")'></ifr1me>",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking,,
