string,classification,Model
var=1234OR1=1,MaliciousIntended-but-safe,Gemini 3 (pro)
var=-1839'or'1'='1,MaliciousIntended-but-safe,Gemini 3 (pro)
"var=-1839""""or""""1""""=""""2",MaliciousIntended-but-safe,Gemini 3 (pro)
var=2010-01-01'+sleep(20.to_i)+',MaliciousIntended-but-safe,Gemini 3 (pro)
var=EmptyValue'and526=527,MaliciousIntended-but-safe,Gemini 3 (pro)
var=foo')UNIONALLselectNULL--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=foo')waitfor delay'5:0:20'--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=JKGHUKGDI8TDHLFJH72FZLFJSKFH'andsleep(12)--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=/path/to/file/unitests.txt')UNIONALLselectNULL--,MaliciousIntended-but-safe,Gemini 3 (pro)
"1'||(selectextractvalue(xmltype('<?xmlversion=""""1.1""""encoding=""""UTF-8""""?><!DOCTYPEroot[<!ENTITY%toyopSYSTEM""""https://coreruleset.org/"""">%toyop;",MaliciousIntended-but-safe,Gemini 3 (pro)
var=sleep(20),MaliciousIntended-but-safe,Gemini 3 (pro)
"var=unittests@coreruleset.org""""sleep(10.to_i)""""",MaliciousIntended-but-safe,Gemini 3 (pro)
"var=""""|type%SystemDrive%\\config.ini|""""",MaliciousIntended-but-safe,Gemini 3 (pro)
"var=""""unittests@coreruleset.org""""'))and(select*from(select(sleep(5)))x)--",MaliciousIntended-but-safe,Gemini 3 (pro)
/1234 OR 1=1,MaliciousIntended-but-safe,Gemini 3 (pro)
/2010-01-01'+sleep(20.to_i)+',MaliciousIntended-but-safe,Gemini 3 (pro)
/EmptyValue' and 526=527,MaliciousIntended-but-safe,Gemini 3 (pro)
/foo')waitfor delay'5:0:20'--,MaliciousIntended-but-safe,Gemini 3 (pro)
/sleep(20),MaliciousIntended-but-safe,Gemini 3 (pro)
"/unittests@coreruleset.org"""" sleep(10.to_i) """"",MaliciousIntended-but-safe,Gemini 3 (pro)
"/foo/24'union+all+select+1,2,3+from+aa",MaliciousIntended-but-safe,Gemini 3 (pro)
"/foo/24'union+all+select+1,2,3+from+aa/bar",MaliciousIntended-but-safe,Gemini 3 (pro)
/*/*/2+union+all/bar,MaliciousIntended-but-safe,Gemini 3 (pro)
/foo/9'union+all/bar,MaliciousIntended-but-safe,Gemini 3 (pro)
"/foo/24+union+all+select+1,2,3+from+aa/bar",MaliciousIntended-but-safe,Gemini 3 (pro)
/?var=blahblah&var2=LIKE NULL,MaliciousIntended-but-safe,Gemini 3 (pro)
pay=RegExp,MaliciousIntended-but-safe,Gemini 3 (pro)
>>,Safe,Gemini 3 (pro)
pay=&&,Safe,Gemini 3 (pro)
<<,Safe,Gemini 3 (pro)
!=,Safe,Gemini 3 (pro)
||,Safe,Gemini 3 (pro)
XOR,Safe,Gemini 3 (pro)
pay=<=,Safe,Gemini 3 (pro)
ISNULL,Safe,Gemini 3 (pro)
"in(0,1)",Safe,Gemini 3 (pro)
"in(2147483647,-1)",Safe,Gemini 3 (pro)
pay=<=>,Safe,Gemini 3 (pro)
regexp,Safe,Gemini 3 (pro)
RLIKE,Safe,Gemini 3 (pro)
<>,Safe,Gemini 3 (pro)
+in+(++select+anfrage_id+from+erkenntnisse+where+id+is++not++null++),MaliciousIntended-but-safe,Gemini 3 (pro)
"+IN+(815914,+815913)",Safe,Gemini 3 (pro)
"+IN+(815919,+815920,+815921,+815922,+815923,+815924,+815925,+815926,+815927,+815928,+815929,+815930,+815932,+815933,+815934,+815935,+815936,+815937,+815917,+815918)",Safe,Gemini 3 (pro)
"pay=in(Aa,-Ab-,andAc)",MaliciousIntended-but-safe,Gemini 3 (pro)
>=,Safe,Gemini 3 (pro)
select * from user where password_last_changed not between '2021-04-11' and '2021-04-11',Malicious-Unsafe,Gemini 3 (pro)
email=z'or email notnull--,MaliciousIntended-but-safe,Gemini 3 (pro)
email=x' or username like totpSecret escape 'x';,MaliciousIntended-but-safe,Gemini 3 (pro)
email=admin@juice-sh.op' and email ilike email--,MaliciousIntended-but-safe,Gemini 3 (pro)
email=admin@juice-sh.op' and email = all (select email)--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=user'collate nocase--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=user'collate`nocase`--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=user'collate foo--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=user'collate`utf8mb4_general_ci`--,MaliciousIntended-but-safe,Gemini 3 (pro)
"var=user'collate""""\utf8mb4_general_ci""""--",MaliciousIntended-but-safe,Gemini 3 (pro)
"var=user'collateU&""""$1#B#E#D""""--",MaliciousIntended-but-safe,Gemini 3 (pro)
email=' notnull --,MaliciousIntended-but-safe,Gemini 3 (pro)
email=admin@juice-sh.op'and unlikely (id)--,MaliciousIntended-but-safe,Gemini 3 (pro)
text=Itishighlyunlikelythisisgoingtobeafalsepositive,Safe,Gemini 3 (pro)
"email=admin@juice-sh.op\' and( likelihood (id,.0));'",MaliciousIntended-but-safe,Gemini 3 (pro)
text=Aftercalculatingthelikelihoodthisshouldnotbematched.,Safe,Gemini 3 (pro)
/catalogue/rest/products/2499999||this.product/reviews,MaliciousIntended-but-safe,Gemini 3 (pro)
"var=""""1"""" sSOUNDS LIKE """"SOUNDS LIKE 1&other_var=test",MaliciousIntended-but-safe,Gemini 3 (pro)
/get?a=1=1,MaliciousIntended-but-safe,Gemini 3 (pro)
/get?a=11=1,MaliciousIntended-but-safe,Gemini 3 (pro)
/get?a=1=11,MaliciousIntended-but-safe,Gemini 3 (pro)
/get?a=11!=11,MaliciousIntended-but-safe,Gemini 3 (pro)
"/get?a=b,1=1",MaliciousIntended-but-safe,Gemini 3 (pro)
a=42 like 42,MaliciousIntended-but-safe,Gemini 3 (pro)
/get?a=This is like no other,Safe,Gemini 3 (pro)
/get?a=42<=>42,MaliciousIntended-but-safe,Gemini 3 (pro)
/?user=admin@juice-sh.op' and password glob password;,MaliciousIntended-but-safe,Gemini 3 (pro)
/get?a=11!=1,MaliciousIntended-but-safe,Gemini 3 (pro)
/get?a=1!=11,MaliciousIntended-but-safe,Gemini 3 (pro)
/get?a=1 is not 2,MaliciousIntended-but-safe,Gemini 3 (pro)
/get?a=1 is not 1,MaliciousIntended-but-safe,Gemini 3 (pro)
a='1'notregexp'2',MaliciousIntended-but-safe,Gemini 3 (pro)
a='1'notregexp'1',MaliciousIntended-but-safe,Gemini 3 (pro)
/?sql_table=pg_catalog,MaliciousIntended-but-safe,Gemini 3 (pro)
INFORMATION_SCHEMA,MaliciousIntended-but-safe,Gemini 3 (pro)
database(,MaliciousIntended-but-safe,Gemini 3 (pro)
db_name(,MaliciousIntended-but-safe,Gemini 3 (pro)
tempdb,Safe,Gemini 3 (pro)
msdb,Safe,Gemini 3 (pro)
mysql.db,Safe,Gemini 3 (pro)
MSysAccessObjects,Safe,Gemini 3 (pro)
Northwind,Safe,Gemini 3 (pro)
SCHEMA_NAME,Safe,Gemini 3 (pro)
"var=SKLJDRTZWS89E450W49NQB0W45BN""""=sleep(12)=""""",MaliciousIntended-but-safe,Gemini 3 (pro)
var=1'andsleep(9)#,MaliciousIntended-but-safe,Gemini 3 (pro)
var=1(select*from(select(sleep(5)))d),MaliciousIntended-but-safe,Gemini 3 (pro)
"var=unittests@coreruleset.org'(function(){if(typeoffoo===""""undefined""""){vara=newDate();do{varb=newDate();}while(b-a<20000);foo=1;}}())'",MaliciousIntended-but-safe,Gemini 3 (pro)
var=test')and(select*from(select(sleep(10)))d)--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=config.ini'andsleep(91)#,MaliciousIntended-but-safe,Gemini 3 (pro)
var=None')and(select*from(select(sleep(10)))a)--,MaliciousIntended-but-safe,Gemini 3 (pro)
"var=eval(compile('forxinrange(1):\nimporttime\ntime.sleep(12)','a','single'))",MaliciousIntended-but-safe,Gemini 3 (pro)
var=file:/init.ini'.sleep(12).',MaliciousIntended-but-safe,Gemini 3 (pro)
var=1)and(select*from(select(sleep(12)))a)--:1)and(select*from(select(sleep(12)))a)--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=/path/to/file/config.ini')and(select*from(select(sleep(12)))a)--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=${@print(chr(122).chr(97).chr(112).chr(95).chr(116).chr(111).chr(107).chr(101).chr(110))},MaliciousIntended-but-safe,Gemini 3 (pro)
var=test{${sleep(12)}},MaliciousIntended-but-safe,Gemini 3 (pro)
"var=test""""+eval(compile('forxinrange(1):\nimporttime\ntime.sleep(12)','a','single'))+""""",MaliciousIntended-but-safe,Gemini 3 (pro)
"var=test""""+(function(){if(typeofgs78r==='undefined'){vara=newDate();do{varb=newDate();}while(b-a<20000);gs78r=1;}}())+""""",MaliciousIntended-but-safe,Gemini 3 (pro)
email=admin@juice-sh.op' or json (id);,Malicious-Unsafe,Gemini 3 (pro)
email=admin@juice-sh.op' or json_valid (id);,Malicious-Unsafe,Gemini 3 (pro)
"email=admin@juice-sh.op' or glob (id,id);",Malicious-Unsafe,Gemini 3 (pro)
"var=,FIND_IN_SET('22',Category)",Malicious-Unsafe,Gemini 3 (pro)
"email=1' + 1 is likelihood(0.0,0.0) is 1--",Malicious-Unsafe,Gemini 3 (pro)
email=admin@example.com' or sqlite_compileoption_used (id)--,Malicious-Unsafe,Gemini 3 (pro)
email=admin@example.com'and not sqlite_compileoption_get (id)--,Malicious-Unsafe,Gemini 3 (pro)
"/index.php?id=starts_with(password,'a')::int",Malicious-Unsafe,Gemini 3 (pro)
"/index.php?id=jsonb_pretty(...(1,password)::jsonb)::int",Malicious-Unsafe,Gemini 3 (pro)
"/index.php?id=...(json_build_object(1,password)::jsonb)::int",Malicious-Unsafe,Gemini 3 (pro)
/index.php?id=unistr(password)::int,Malicious-Unsafe,Gemini 3 (pro)
/?sql_table=sleep(534543),Malicious-Unsafe,Gemini 3 (pro)
sleEP(3),Malicious-Unsafe,Gemini 3 (pro)
sleep(5000),Malicious-Unsafe,Gemini 3 (pro)
"/if(now()=sysdate(),sleep(12),0)",Malicious-Unsafe,Gemini 3 (pro)
"/?var=SELECT BENCHMARK(1000000,1+1);",Malicious-Unsafe,Gemini 3 (pro)
/?var=; sleep(0),Malicious-Unsafe,Gemini 3 (pro)
/?var=';,Malicious-Unsafe,Gemini 3 (pro)
/?var='glob 1;,Malicious-Unsafe,Gemini 3 (pro)
/?var=';print',Malicious-Unsafe,Gemini 3 (pro)
/?var=';#,Malicious-Unsafe,Gemini 3 (pro)
